Date,Open,High,Low,Close,Daily_Return,Volume
09/08/2016," Rp561,049 "," Rp564,250 "," Rp559,658 "," Rp564,082 ",0.001372116,620
10/08/2016," Rp567,347 "," Rp571,312 "," Rp567,136 "," Rp567,136 ",0.005414003,110
11/08/2016," Rp565,263 "," Rp568,971 "," Rp562,398 "," Rp565,643 ",-0.002632823,666
12/08/2016," Rp563,069 "," Rp569,387 "," Rp561,553 "," Rp562,648 ",-0.005294356,113
15/08/2016," Rp562,169 "," Rp563,894 "," Rp560,949 "," Rp563,768 ",0.001990198,62
16/08/2016," Rp565,214 "," Rp570,604 "," Rp564,709 "," Rp568,709 ",0.008765451,338
17/08/2016," Rp566,950 "," Rp567,708 "," Rp564,042 "," Rp565,770 ",-0.005168422,135
18/08/2016," Rp567,482 "," Rp568,784 "," Rp566,180 "," Rp567,440 ",0.002952034,140
19/08/2016," Rp569,105 "," Rp569,105 "," Rp564,258 "," Rp565,016 ",-0.004271485,197
22/08/2016," Rp562,659 "," Rp564,050 "," Rp562,195 "," Rp564,050 ",-0.001709906,117
23/08/2016," Rp563,497 "," Rp565,267 "," Rp562,359 "," Rp565,014 ",0.001709435,551
24/08/2016," Rp566,591 "," Rp566,591 "," Rp560,532 "," Rp561,167 ",-0.00680879,262
25/08/2016," Rp561,171 "," Rp562,275 "," Rp559,302 "," Rp560,619 ",-0.000977832,58
26/08/2016," Rp563,254 "," Rp570,360 "," Rp561,680 "," Rp562,275 ",0.0029552,141
29/08/2016," Rp560,524 "," Rp563,934 "," Rp560,524 "," Rp563,892 ",0.002874853,437
30/08/2016," Rp562,998 "," Rp563,041 "," Rp557,036 "," Rp558,612 ",-0.009363755,705
31/08/2016," Rp560,712 "," Rp562,167 "," Rp559,000 "," Rp559,257 ",0.001154649,214
01/09/2016," Rp555,970 "," Rp559,292 "," Rp554,352 "," Rp558,909 ",-0.0006217,225
02/09/2016," Rp559,275 "," Rp566,578 "," Rp559,104 "," Rp564,613 ",0.010206441,55
06/09/2016," Rp564,998 "," Rp576,142 "," Rp564,956 "," Rp576,142 ",0.020418489,46
07/09/2016," Rp575,412 "," Rp576,308 "," Rp573,491 "," Rp573,662 ",-0.004304556,14
08/09/2016," Rp570,503 "," Rp570,757 "," Rp566,642 "," Rp567,109 ",-0.011422917,30
09/09/2016," Rp564,818 "," Rp564,818 "," Rp560,387 "," Rp561,273 ",-0.010290474,35
12/09/2016," Rp557,107 "," Rp558,072 "," Rp554,126 "," Rp554,588 ",-0.01191141,177
13/09/2016," Rp556,610 "," Rp556,610 "," Rp552,576 "," Rp554,257 ",-0.000596419,79
14/09/2016," Rp554,383 "," Rp555,686 "," Rp554,383 "," Rp555,350 ",0.001972031,73
15/09/2016," Rp559,472 "," Rp559,472 "," Rp555,278 "," Rp556,422 ",0.001930694,37
16/09/2016," Rp555,703 "," Rp555,872 "," Rp552,992 "," Rp552,992 ",-0.006163966,4
19/09/2016," Rp559,167 "," Rp559,167 "," Rp559,167 "," Rp559,167 ",0.011166004,20
20/09/2016," Rp557,140 "," Rp557,140 "," Rp557,140 "," Rp557,140 ",-0.003624497,97
21/09/2016," Rp560,480 "," Rp560,733 "," Rp559,508 "," Rp560,733 ",0.006449175,76
22/09/2016," Rp566,495 "," Rp567,257 "," Rp566,326 "," Rp567,257 ",0.011634323,23
23/09/2016," Rp564,871 "," Rp564,871 "," Rp564,871 "," Rp564,871 ",-0.004206341,40
26/09/2016," Rp564,842 "," Rp567,634 "," Rp564,842 "," Rp566,746 ",0.003318358,24
27/09/2016," Rp557,526 "," Rp557,820 "," Rp556,645 "," Rp556,645 ",-0.017822413,48
28/09/2016," Rp554,086 "," Rp554,086 "," Rp554,086 "," Rp554,086 ",-0.004597506,10551
29/09/2016," Rp554,459 "," Rp556,054 "," Rp551,731 "," Rp554,669 ",0.001052938,6108
30/09/2016," Rp553,613 "," Rp556,589 "," Rp550,385 "," Rp550,553 ",-0.007421112,868
03/10/2016," Rp545,485 "," Rp546,855 "," Rp543,284 "," Rp543,616 ",-0.012600142,299
04/10/2016," Rp543,203 "," Rp544,283 "," Rp526,046 "," Rp526,046 ",-0.032320716,1893
05/10/2016," Rp531,809 "," Rp532,603 "," Rp527,294 "," Rp528,924 ",0.005471995,246
06/10/2016," Rp527,461 "," Rp527,461 "," Rp520,999 "," Rp520,999 ",-0.014982774,114
07/10/2016," Rp522,547 "," Rp526,590 "," Rp520,464 "," Rp520,464 ",-0.001028412,169
11/10/2016," Rp527,424 "," Rp527,424 "," Rp524,952 "," Rp524,952 ",0.008623597,26
12/10/2016," Rp523,723 "," Rp524,686 "," Rp523,472 "," Rp523,472 ",-0.002818983,127
13/10/2016," Rp526,288 "," Rp526,413 "," Rp524,741 "," Rp524,741 ",0.002423558,315
14/10/2016," Rp522,749 "," Rp522,749 "," Rp521,373 "," Rp522,415 ",-0.004431493,311
17/10/2016," Rp519,434 "," Rp521,553 "," Rp519,434 "," Rp521,304 ",-0.002127687,41
18/10/2016," Rp529,762 "," Rp530,098 "," Rp529,720 "," Rp529,720 ",0.01614372,11
19/10/2016," Rp528,612 "," Rp532,212 "," Rp528,612 "," Rp530,705 ",0.001860593,219
20/10/2016," Rp532,605 "," Rp532,815 "," Rp530,718 "," Rp530,760 ",0.000102725,415
21/10/2016," Rp532,839 "," Rp532,839 "," Rp532,839 "," Rp532,839 ",0.003917806,224
24/10/2016," Rp532,555 "," Rp532,555 "," Rp529,450 "," Rp529,534 ",-0.006202867,42
25/10/2016," Rp529,155 "," Rp533,341 "," Rp529,155 "," Rp532,420 ",0.00545078,61
26/10/2016," Rp531,333 "," Rp531,333 "," Rp527,496 "," Rp527,496 ",-0.009248237,279
27/10/2016," Rp530,762 "," Rp530,762 "," Rp530,135 "," Rp530,135 ",0.005001137,338
28/10/2016," Rp532,976 "," Rp537,675 "," Rp529,493 "," Rp535,158 ",0.009475093,560
31/10/2016," Rp534,059 "," Rp534,059 "," Rp531,926 "," Rp531,926 ",-0.006038771,58
01/11/2016," Rp533,708 "," Rp538,464 "," Rp533,583 "," Rp536,670 ",0.008919364,49
02/11/2016," Rp539,451 "," Rp547,281 "," Rp539,451 "," Rp547,198 ",0.019616026,30
03/11/2016," Rp544,052 "," Rp546,863 "," Rp540,233 "," Rp546,444 ",-0.001377978,73
04/11/2016," Rp545,980 "," Rp547,366 "," Rp544,594 "," Rp547,366 ",0.001688458,11
07/11/2016," Rp540,544 "," Rp541,589 "," Rp534,812 "," Rp534,812 ",-0.022936259,34
08/11/2016," Rp538,270 "," Rp540,492 "," Rp533,701 "," Rp533,785 ",-0.001919443,50
09/11/2016," Rp533,609 "," Rp553,071 "," Rp532,687 "," Rp533,777 ",-1.51E-05,108
10/11/2016," Rp535,434 "," Rp540,938 "," Rp526,569 "," Rp531,694 ",-0.003902178,63
14/11/2016," Rp517,710 "," Rp518,427 "," Rp510,373 "," Rp514,927 ",-0.031535295,216
15/11/2016," Rp515,132 "," Rp515,847 "," Rp514,375 "," Rp515,006 ",0.000153012,20
16/11/2016," Rp515,418 "," Rp515,418 "," Rp512,776 "," Rp512,944 ",-0.004003392,66
17/11/2016," Rp517,227 "," Rp517,396 "," Rp511,483 "," Rp513,806 ",0.001679841,1139
18/11/2016," Rp529,436 "," Rp529,436 "," Rp527,382 "," Rp527,950 ",0.027528508,607
21/11/2016," Rp518,864 "," Rp518,864 "," Rp518,864 "," Rp518,864 ",-0.017210489,19
22/11/2016," Rp523,760 "," Rp524,063 "," Rp522,549 "," Rp524,020 ",0.009936877,19
23/11/2016," Rp519,106 "," Rp519,534 "," Rp507,977 "," Rp508,962 ",-0.028735834,309
25/11/2016," Rp505,864 "," Rp511,150 "," Rp505,864 "," Rp506,380 ",-0.005073187,14
28/11/2016," Rp512,234 "," Rp513,355 "," Rp512,234 "," Rp513,355 ",0.01377504,189914
29/11/2016," Rp517,085 "," Rp517,778 "," Rp511,104 "," Rp514,788 ",0.002791243,42124
30/11/2016," Rp511,884 "," Rp514,558 "," Rp503,605 "," Rp504,855 ",-0.019294272,7158
01/12/2016," Rp506,429 "," Rp507,249 "," Rp500,944 "," Rp503,924 ",-0.001844842,1588
02/12/2016," Rp512,852 "," Rp515,039 "," Rp510,271 "," Rp514,077 ",0.020147266,1521
05/12/2016," Rp515,146 "," Rp517,282 "," Rp504,336 "," Rp511,746 ",-0.004533787,358
06/12/2016," Rp507,458 "," Rp509,019 "," Rp505,811 "," Rp506,028 ",-0.011173167,652
07/12/2016," Rp506,034 "," Rp510,714 "," Rp505,471 "," Rp509,198 ",0.006263154,182
